,sample,date,n,nsp7,e,orf3,hel,orf8b,orf5,nendou,orf4a,nsp6,rdrp,exon,m,2omethyltransferase,s1,nsp4,nsp5,nsp3,orf4b,nsp1,s2,nsp9,nsp8,nsp2,nsp10
0,KJ477102,2013.6677696491379,0.004830917874396135,0.0,0.0,0.0,0.0016722408026755853,0.02654867256637168,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0,0.003816793893129771,0.0,0.0,0.00546448087431694,0.0019723865877712033,0.0032679738562091504,0.00688924218335983,0.004048582995951417,0.0,0.008305647840531562,0.0,0.005025125628140704,0.00909090909090909,0.0
1,OP712624,2016.6844262295083,0.0024154589371980675,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.008849557522123894,0.017777777777777778,0.0058309037900874635,0.0,0.003424657534246575,0.003215434083601286,0.0019083969465648854,0.004545454545454545,0.0033003300330033004,0.012295081967213115,0.005917159763313609,0.0032679738562091504,0.007419183889772125,0.016194331983805668,0.0051813471502590676,0.0033222591362126247,0.0,0.005025125628140704,0.00909090909090909,0.0
2,OP712625,2016.6844262295083,0.0024154589371980675,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.008849557522123894,0.017777777777777778,0.0058309037900874635,0.0,0.003424657534246575,0.003215434083601286,0.0019083969465648854,0.004545454545454545,0.0033003300330033004,0.012295081967213115,0.005917159763313609,0.0032679738562091504,0.007419183889772125,0.016194331983805668,0.0051813471502590676,0.0033222591362126247,0.0,0.005025125628140704,0.010606060606060607,0.0
3,KJ477103,2013.9986301369863,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.0,0.0,0.004098360655737705,0.0,0.006535947712418301,0.00794912559618442,0.020242914979757085,0.0051813471502590676,0.0016611295681063123,0.0,0.0,0.007575757575757576,0.0
4,OP906306,2013.9986301369863,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.004545454545454545,0.0,0.004098360655737705,0.0,0.006535947712418301,0.007419183889772125,0.020242914979757085,0.0051813471502590676,0.0033222591362126247,0.0,0.0,0.007575757575757576,0.0
5,MK967708,2018.0013698630137,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.0,0.0,0.006830601092896175,0.0,0.006535947712418301,0.007419183889772125,0.020242914979757085,0.0051813471502590676,0.0033222591362126247,0.0,0.0,0.00909090909090909,0.0
6,OP654178,2015.0150684931507,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.0,0.0,0.004098360655737705,0.0,0.006535947712418301,0.007419183889772125,0.020242914979757085,0.0051813471502590676,0.0016611295681063123,0.0,0.0,0.007575757575757576,0.0
7,OP654179,2015.0013698630137,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.017777777777777778,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.0,0.0,0.004098360655737705,0.0,0.006535947712418301,0.007419183889772125,0.020242914979757085,0.0051813471502590676,0.0049833887043189366,0.0,0.0,0.007575757575757576,0.0
8,OP712623,2015.0150684931507,0.0,0.012048192771084338,0.0,0.009615384615384616,0.0016722408026755853,0.017699115044247787,0.013333333333333334,0.008746355685131196,0.0,0.003424657534246575,0.0021436227224008574,0.0019083969465648854,0.0,0.0,0.004098360655737705,0.0,0.006535947712418301,0.007419183889772125,0.020242914979757085,0.0051813471502590676,0.0049833887043189366,0.0,0.0,0.007575757575757576,0.0
9,MG923469,2015.168493150685,0.0024154589371980675,0.012048192771084338,0.0,0.009615384615384616,0.005016722408026756,0.017699115044247787,0.0044444444444444444,0.0058309037900874635,0.00909090909090909,0.003424657534246575,0.003215434083601286,0.003816793893129771,0.0,0.0033003300330033004,0.004098360655737705,0.0019723865877712033,0.0032679738562091504,0.007419183889772125,0.03643724696356275,0.0051813471502590676,0.0049833887043189366,0.0,0.005025125628140704,0.00909090909090909,0.0
