	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
0	JX869059	JX869059.2	JX869059	2012-06-13					30119	Homo sapiens	2012-09-27	2012-12-04		van Boheemen,S.,de Graaf,M.,Lauber,C.,Bestebroer,T.M.,Raj,V.S.,Zaki,A.M.,Osterhaus,A.D.,Haagmans,B.L.,Gorbalenya,A.E.,Snijder,E.J.,Fouchier,R.A.,Victor,S.R.,Osterhaus,A.D.M.E.,Fouchier,R.A.M.	van Boheemen et al	Erasmus MC, Viroscience Lab	Human
1	KC164505	KC164505.2	H123990006	2012-09-11	Europe	United Kingdom			30111	Homo sapiens	2012-12-05	2013-07-12		Galiano,M.,Myers,R.,Bermingham,A.,Gopal,R.,Zambon,M.	Galiano et al	Health Protection Agency, Microbiological Services	Human
2	KC667074	KC667074.1	England/Qatar/2012	2012-09-19	Europe	United Kingdom	England		30112	Homo sapiens	2013-02-27	2013-04-30		Cotten,M.,Lam,T.T.,Watson,S.J.,Palser,A.L.,Petrova,V.,Grant,P.,Pybus,O.G.,Rambaut,A.,Guan,Y.,Pillay,D.,Kellam,P.,Nastouli,E.,Cotten,M.L.,Palser,A.,Pybus,O.	Cotten et al	Wellcome Trust Sanger Institute, Viral Genomics	Human
3	KC776174	KC776174.1	KC776174	2012-04-XX	Asia	Jordan			30030	Homo sapiens	2013-03-25	2013-03-25		Elassal,E.M.,Demian,P.N.,Defang,G.N.,Rozanski,C.H.,Curry,J.A.,Oyofo,B.A.,Al-Sanouri,T.M.,Haddadin,A.,Mohareb,E.W.	Elassal et al	U.S. Naval Medical Research Unit No. 3, Viral and Zoonotic Diseases Research Program	Human
5	KC875821	KC875821.1	KC875821	2012-XX-XX	Asia	Qatar			5130	Homo sapiens	2013-06-23	2013-06-23		Drosten,C.,Seilmaier,M.,Corman,V.M.,Hartmann,W.,Scheible,G.,Sack,S.,Guggemos,W.,Kallies,R.,Muth,D.,Junglen,S.,Muller,M.A.,Haas,W.,Guberina,H.,Rohnisch,T.,Schmid-Wendtner,M.,Aldabbagh,S.,Dittmer,U.,Gold,H.,Graf,P.,Bonin,F.,Rambaut,A.,Wendtner,C.M.	Drosten et al	University of Bonn Medical Center, Institute of Virology	Human
6	KF186564	KF186564.1	Al-Hasa_4_2013	2013-05-01	Asia	Saudi Arabia			30081	Homo sapiens	2013-06-10	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
8	KF186566	KF186566.1	Al-Hasa_2_2013	2013-04-21	Asia	Saudi Arabia			30113	Homo sapiens	2013-06-10	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
10	KF192507	KF192507.1	KF192507	2013-XX-XX	Asia	United Arab Emirates			30123	Homo sapiens	2013-06-10	2014-07-24		Drosten,C.,Seilmaier,M.,Corman,V.M.,Hartmann,W.,Scheible,G.,Sack,S.,Guggemos,W.,Kallies,R.,Muth,D.,Junglen,S.,Muller,M.A.,Haas,W.,Guberina,H.,Rohnisch,T.,Schmid-Wendtner,M.,Aldabbagh,S.,Dittmer,U.,Gold,H.,Graf,P.,Bonin,F.,Rambaut,A.,Wendtner,C.M.	Drosten et al	University of Bonn Medical Center, Institute of Virology	Human
11	KF600612	KF600612.1	Riyadh_1_2012	2012-10-23	Asia	Saudi Arabia			30063	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Ong,S.H.,Al Rabeeah,A.A.,Barry,M.,Shibl,A.,Alrabiah,F.A.,Hajjar,S.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
14	KF600615	KF600615.1	Al-Hasa_14a_2013	2013-05-08	Asia	Saudi Arabia			6673	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
19	KF600620	KF600620.1	Bisha_1_2012	2012-06-19	Asia	Saudi Arabia			30056	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
25	KF600626	KF600626.1	Al-Hasa_8c_2013	2013-05-01	Asia	Saudi Arabia			11638	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
42	KF600643	KF600643.1	Al-Hasa_14b_2013	2013-05-08	Asia	Saudi Arabia			15966	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
51	KF600652	KF600652.1	Riyadh_2_2012	2012-10-30	Asia	Saudi Arabia			30082	Homo sapiens	2013-09-17	2014-07-24		Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Cotten et al	Ministry of Health, Kingdom of Saudi Arabia	Human
56	KF745068	KF745068.1	FRA/UAE	2013-05-07	Europe	France			29901	Homo sapiens	2013-12-07	2013-12-07		Enouf,V.,Briand,D.,van der Werf,S.	Enouf et al	Insitut Pasteur, Virology	Human
58	KF811036	KF811036.1	KF811036	2013-05-08	Africa	Tunisia			4062	Homo sapiens	2014-05-19	2014-09-11		Abroug,F.,Slim,A.,Ouanes-Besbes,L.,Kacem,M.A.,Dachraoui,F.,Ouanes,I.,Lu,X.,Tao,Y.,Paden,C.,Caidi,H.,Miao,C.,Al-Hajri,M.M.,Zorraga,M.,Ghaouar,W.,BenSalah,A.,Gerber,S.I.,Erdman,D.D.	Abroug et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Human
59	KF917527	KF917527.1	MERS-CoV-Jeddah-Camel-1	2013-11-08	Asia	Saudi Arabia			29851	Camelus	2014-05-01	2014-06-05		Azhar,E.I.,El-Kafrawy,S.A.,Farraj,S.A.,Hassan,A.M.,Al-Saeed,M.S.,Hashem,A.M.,Madani,T.A.,Alsaeed,M.S.,Alawi,M.M.	Azhar et al	King Abdulaziz University, King Fahd Medical Research Center, Special Infectious Agent Unit	Camel
