Map from character to field name
A:	
B:	Burkina Faso
C:	China
D:	Egypt
E:	Ethiopia
F:	France
G:	Greece
H:	Jordan
I:	Kenya
J:	Morocco
K:	Nigeria
L:	Oman
M:	Qatar
N:	Saudi Arabia
O:	South Korea
P:	Thailand
Q:	Tunisia
R:	USA
S:	United Arab Emirates
T:	United Kingdom
U:	?


Substitution rate (mu): 49.406217

Equilibrium frequencies (pi_i):
  A: 0.0632
  B: 0.058
  C: 0.0574
  D: 0.0555
  E: 0.0557
  F: 0.0524
  G: 0.052
  H: 0.039
  I: 0.061
  J: 0.0582
  K: 0.0589
  L: 0.0454
  M: 0.0456
  N: 0.0332
  O: 0.0392
  P: 0.0528
  Q: 0.0522
  R: 0.0492
  S: 0.024
  T: 0.0472

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T
  A	0	0.9331	0.9331	0.9364	0.9356	0.9331	0.9333	1.4111	2.7986	0.9332	0.9327	0.9333	0.9332	0.9346	1.3989	0.9333	0.9333	0.9332	1.3829	0.9331
  B	0.9331	0	0.9333	1.4028	0.9361	0.9332	0.9334	0.9322	0.9326	1.4073	1.4141	0.9334	0.9333	0.9221	0.9328	0.9334	0.9334	0.9334	0.9263	0.9333
  C	0.9331	0.9333	0	0.9333	0.932	0.9333	0.9335	0.9323	0.9326	0.9335	0.933	0.9335	0.9334	1.3171	1.9424	0.9335	0.9335	0.9334	0.9247	0.9333
  D	0.9364	1.4028	0.9333	0	1.8929	0.9333	0.9334	0.9326	0.933	0.9445	0.9468	0.934	0.9335	0.931	0.9329	0.9335	0.9334	0.9334	1.2385	0.9333
  E	0.9356	0.9361	0.932	1.8929	0	0.9322	0.9323	0.9317	3.0176	0.9322	0.9317	0.933	0.9325	0.93	0.932	0.9324	0.9323	0.9323	1.2303	0.9323
  F	0.9331	0.9332	0.9333	0.9333	0.9322	0	0.9334	0.9325	0.9326	0.9334	0.9329	0.9335	0.9334	1.083	0.9329	0.9334	0.9335	0.9334	1.2601	0.9333
  G	0.9333	0.9334	0.9335	0.9334	0.9323	0.9334	0	0.9331	0.9328	0.9336	0.9331	0.9336	0.9335	1.3844	0.933	0.9336	0.9336	0.9335	0.9253	0.9334
  H	1.4111	0.9322	0.9323	0.9326	0.9317	0.9325	0.9331	0	0.9317	0.9324	0.932	0.9327	0.9347	4.6697	0.9323	0.9325	0.9325	0.9331	1.8597	0.9325
  I	2.7986	0.9326	0.9326	0.933	3.0176	0.9326	0.9328	0.9317	0	0.9327	0.9322	0.9329	0.9328	0.9212	0.9323	0.9328	0.9328	0.9328	0.9244	0.9327
  J	0.9332	1.4073	0.9335	0.9445	0.9322	0.9334	0.9336	0.9324	0.9327	0	0.9378	0.9335	0.9335	0.9221	0.9329	0.9336	0.9336	0.9335	0.9243	0.9334
  K	0.9327	1.4141	0.933	0.9468	0.9317	0.9329	0.9331	0.932	0.9322	0.9378	0	0.9332	0.9331	0.9217	0.9326	0.9331	0.9331	0.9331	0.924	0.933
  L	0.9333	0.9334	0.9335	0.934	0.933	0.9335	0.9336	0.9327	0.9329	0.9335	0.9332	0	0.9335	1.0744	0.9331	0.9336	0.9336	0.9335	3.1492	0.9335
  M	0.9332	0.9333	0.9334	0.9335	0.9325	0.9334	0.9335	0.9347	0.9328	0.9335	0.9331	0.9335	0	2.2045	0.933	0.9335	0.9335	0.9334	1.53	0.9748
  N	0.9346	0.9221	1.3171	0.931	0.93	1.083	1.3844	4.6697	0.9212	0.9221	0.9217	1.0744	2.2045	0	3.8623	0.9232	1.235	1.8515	10.6628	2.1915
  O	1.3989	0.9328	1.9424	0.9329	0.932	0.9329	0.933	0.9323	0.9323	0.9329	0.9326	0.9331	0.933	3.8623	0	0.933	0.933	0.933	0.9807	0.933
  P	0.9333	0.9334	0.9335	0.9335	0.9324	0.9334	0.9336	0.9325	0.9328	0.9336	0.9331	0.9336	0.9335	0.9232	0.933	0	0.9336	0.9335	1.3877	0.9334
  Q	0.9333	0.9334	0.9335	0.9334	0.9323	0.9335	0.9336	0.9325	0.9328	0.9336	0.9331	0.9336	0.9335	1.235	0.933	0.9336	0	0.9335	1.0758	0.9334
  R	0.9332	0.9334	0.9334	0.9334	0.9323	0.9334	0.9335	0.9331	0.9328	0.9335	0.9331	0.9335	0.9334	1.8515	0.933	0.9335	0.9335	0	0.9258	0.9334
  S	1.3829	0.9263	0.9247	1.2385	1.2303	1.2601	0.9253	1.8597	0.9244	0.9243	0.924	3.1492	1.53	10.6628	0.9807	1.3877	1.0758	0.9258	0	1.0574
  T	0.9331	0.9333	0.9333	0.9333	0.9323	0.9333	0.9334	0.9325	0.9327	0.9334	0.933	0.9335	0.9748	2.1915	0.933	0.9334	0.9334	0.9334	1.0574	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T
  A	0	0.059	0.059	0.0592	0.0591	0.059	0.059	0.0892	0.1768	0.059	0.0589	0.059	0.059	0.0591	0.0884	0.059	0.059	0.059	0.0874	0.059
  B	0.0541	0	0.0541	0.0814	0.0543	0.0541	0.0542	0.0541	0.0541	0.0816	0.082	0.0542	0.0541	0.0535	0.0541	0.0542	0.0542	0.0542	0.0537	0.0541
  C	0.0536	0.0536	0	0.0536	0.0535	0.0536	0.0536	0.0535	0.0536	0.0536	0.0536	0.0536	0.0536	0.0756	0.1115	0.0536	0.0536	0.0536	0.0531	0.0536
  D	0.0519	0.0778	0.0518	0	0.105	0.0518	0.0518	0.0517	0.0517	0.0524	0.0525	0.0518	0.0518	0.0516	0.0517	0.0518	0.0518	0.0518	0.0687	0.0518
  E	0.0521	0.0521	0.0519	0.1054	0	0.0519	0.0519	0.0519	0.1681	0.0519	0.0519	0.052	0.0519	0.0518	0.0519	0.0519	0.0519	0.0519	0.0685	0.0519
  F	0.0489	0.0489	0.0489	0.0489	0.0488	0	0.0489	0.0489	0.0489	0.0489	0.0489	0.0489	0.0489	0.0567	0.0489	0.0489	0.0489	0.0489	0.066	0.0489
  G	0.0485	0.0485	0.0485	0.0485	0.0484	0.0485	0	0.0485	0.0485	0.0485	0.0485	0.0485	0.0485	0.0719	0.0485	0.0485	0.0485	0.0485	0.0481	0.0485
  H	0.055	0.0363	0.0363	0.0364	0.0363	0.0364	0.0364	0	0.0363	0.0363	0.0363	0.0364	0.0364	0.1821	0.0363	0.0364	0.0364	0.0364	0.0725	0.0364
  I	0.1707	0.0569	0.0569	0.0569	0.1841	0.0569	0.0569	0.0568	0	0.0569	0.0569	0.0569	0.0569	0.0562	0.0569	0.0569	0.0569	0.0569	0.0564	0.0569
  J	0.0543	0.0819	0.0543	0.055	0.0542	0.0543	0.0543	0.0543	0.0543	0	0.0546	0.0543	0.0543	0.0537	0.0543	0.0543	0.0543	0.0543	0.0538	0.0543
  K	0.0549	0.0832	0.0549	0.0557	0.0548	0.0549	0.0549	0.0549	0.0549	0.0552	0	0.0549	0.0549	0.0543	0.0549	0.0549	0.0549	0.0549	0.0544	0.0549
  L	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0.0424	0	0.0424	0.0488	0.0424	0.0424	0.0424	0.0424	0.1431	0.0424
  M	0.0426	0.0426	0.0426	0.0426	0.0425	0.0426	0.0426	0.0426	0.0426	0.0426	0.0426	0.0426	0	0.1006	0.0426	0.0426	0.0426	0.0426	0.0698	0.0445
  N	0.031	0.0306	0.0437	0.0309	0.0309	0.0359	0.0459	0.1549	0.0306	0.0306	0.0306	0.0356	0.0731	0	0.1281	0.0306	0.041	0.0614	0.3537	0.0727
