accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
JX869059	JX869059.2	30119	GenBank		JX869059			2012-06-13	2012-09-27	2012-12-04	Homo sapiens			van Boheemen,S.,de Graaf,M.,Lauber,C.,Bestebroer,T.M.,Raj,V.S.,Zaki,A.M.,Osterhaus,A.D.,Haagmans,B.L.,Gorbalenya,A.E.,Snijder,E.J.,Fouchier,R.A.,Victor,S.R.,Osterhaus,A.D.M.E.,Fouchier,R.A.M.	Erasmus MC, Viroscience Lab	Netherlands			van Boheemen et al
KC164505	KC164505.2	30111	GenBank		H123990006	Europe		2012-09-11	2012-12-05	2013-07-12	Homo sapiens			Galiano,M.,Myers,R.,Bermingham,A.,Gopal,R.,Zambon,M.	Health Protection Agency, Microbiological Services	United Kingdom	United Kingdom		Galiano et al
KC667074	KC667074.1	30112	GenBank		England/Qatar/2012	Europe		2012-09-19	2013-02-27	2013-04-30	Homo sapiens			Cotten,M.,Lam,T.T.,Watson,S.J.,Palser,A.L.,Petrova,V.,Grant,P.,Pybus,O.G.,Rambaut,A.,Guan,Y.,Pillay,D.,Kellam,P.,Nastouli,E.,Cotten,M.L.,Palser,A.,Pybus,O.	Wellcome Trust Sanger Institute, Viral Genomics	United Kingdom	United Kingdom	England	Cotten et al
KC776174	KC776174.1	30030	GenBank		KC776174	Asia		2012-04-XX	2013-03-25	2013-03-25	Homo sapiens	lung		Elassal,E.M.,Demian,P.N.,Defang,G.N.,Rozanski,C.H.,Curry,J.A.,Oyofo,B.A.,Al-Sanouri,T.M.,Haddadin,A.,Mohareb,E.W.	U.S. Naval Medical Research Unit No. 3, Viral and Zoonotic Diseases Research Program	Egypt	Jordan		Elassal et al
KC869678	KC869678.4	30111	GenBank		KC869678	Africa		2011-XX-XX	2013-07-30	2014-11-13	Laephotis capensis			Ithete,N.L.,Stoffberg,S.,Corman,V.M.,Cottontail,V.M.,Richards,L.R.,Schoeman,M.C.,Drosten,C.,Drexler,J.F.,Preiser,W.,Stoffberg Hockey,S.,Richards,L.	Stellenbosch University, Division of Medical Virology, Pathology	South Africa	South Africa		Ithete et al
KC875821	KC875821.1	5130	GenBank		KC875821	Asia		2012-XX-XX	2013-06-23	2013-06-23	Homo sapiens	lung		Drosten,C.,Seilmaier,M.,Corman,V.M.,Hartmann,W.,Scheible,G.,Sack,S.,Guggemos,W.,Kallies,R.,Muth,D.,Junglen,S.,Muller,M.A.,Haas,W.,Guberina,H.,Rohnisch,T.,Schmid-Wendtner,M.,Aldabbagh,S.,Dittmer,U.,Gold,H.,Graf,P.,Bonin,F.,Rambaut,A.,Wendtner,C.M.	University of Bonn Medical Center, Institute of Virology	Germany	Qatar		Drosten et al
KF186564	KF186564.1	30081	GenBank		Al-Hasa_4_2013	Asia		2013-05-01	2013-06-10	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF186565	KF186565.1	30069	GenBank		Al-Hasa_3_2013	Asia		2013-04-22	2013-06-10	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF186566	KF186566.1	30113	GenBank		Al-Hasa_2_2013	Asia		2013-04-21	2013-06-10	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
KF186567	KF186567.1	30117	GenBank		Al-Hasa_1_2013	Asia		2013-05-09	2013-06-10	2014-07-24	Homo sapiens			Cotten,M.,Watson,S.J.,Kellam,P.,Al-Rabeeah,A.A.,Makhdoom,H.Q.,Assiri,A.,Al-Tawfiq,J.A.,Alhakeem,R.F.,Madani,H.,AlRabiah,F.A.,Al Hajjar,S.,Al-nassir,W.N.,Albarrak,A.,Flemban,H.,Balkhy,H.H.,Alsubaie,S.,Palser,A.L.,Gall,A.,Bashford-Rogers,R.,Rambaut,A.,Zumla,A.I.,Memish,Z.A.,Zumla,A.	Ministry of Health, Kingdom of Saudi Arabia		Saudi Arabia		Cotten et al
