,sample,date,nsp1,nsp2,nsp3,nsp4,nsp5,nsp6,nsp7,nsp8,nsp9,nsp10,rdrp,hel,exon,nendou,2omethyltransferase,s1,s2,orf3,orf4a,orf4b,orf5,e,m,orf8b,n
0,KX108943,2015.3082191780823,0.0,0.0015151515151515152,0.00688924218335983,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.007142857142857143,0.0010718113612004287,0.0016722408026755853,0.0019083969465648854,0.01749271137026239,0.0,0.006830601092896175,0.0049833887043189366,0.038461538461538464,0.01818181818181818,0.004048582995951417,0.008888888888888889,0.012048192771084338,0.004545454545454545,0.017699115044247787,0.007246376811594203
1,KJ713299,2013.845647671528,0.0,0.0030303030303030303,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0057251908396946565,0.0,0.0,0.00546448087431694,0.006644518272425249,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.007246376811594203
2,KJ650297,2013.9136986301369,0.0051813471502590676,0.0015151515151515152,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.004098360655737705,0.008305647840531562,0.0,0.00909090909090909,0.004048582995951417,0.0044444444444444444,0.0,0.0,0.0,0.004830917874396135
3,KJ650296,2013.995890410959,0.0051813471502590676,0.0015151515151515152,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.004098360655737705,0.008305647840531562,0.0,0.00909090909090909,0.004048582995951417,0.0044444444444444444,0.0,0.0,0.0,0.004830917874396135
4,KJ650295,2013.995890410959,0.0051813471502590676,0.0015151515151515152,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.004098360655737705,0.008305647840531562,0.0,0.00909090909090909,0.004048582995951417,0.0044444444444444444,0.0,0.0,0.0,0.004830917874396135
5,KP719930,2014.4150684931508,0.010362694300518135,0.0030303030303030303,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.004098360655737705,0.006644518272425249,0.019230769230769232,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
6,KP719929,2014.4150684931508,0.010362694300518135,0.0030303030303030303,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.00546448087431694,0.006644518272425249,0.019230769230769232,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
7,KX108937,2014.4178082191781,0.010362694300518135,0.004545454545454545,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.00546448087431694,0.006644518272425249,0.019230769230769232,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
8,KP719927,2014.4945205479453,0.015544041450777202,0.0030303030303030303,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.004098360655737705,0.006644518272425249,0.019230769230769232,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
9,KP719928,2014.4200046088204,0.010362694300518135,0.0030303030303030303,0.0037095919448860626,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019083969465648854,0.0029154518950437317,0.0,0.00546448087431694,0.006644518272425249,0.019230769230769232,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
10,KY581698,2014.4150684931508,0.0,0.0030303030303030303,0.0047694753577106515,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0029154518950437317,0.0,0.00273224043715847,0.006644518272425249,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
11,KY581695,2014.4150684931508,0.0,0.0030303030303030303,0.0047694753577106515,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0029154518950437317,0.0,0.00273224043715847,0.006644518272425249,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
12,KY581699,2014.4150684931508,0.0,0.0030303030303030303,0.0047694753577106515,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0029154518950437317,0.0,0.00273224043715847,0.006644518272425249,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
13,KU242424,2014.1712328767123,0.0,0.0015151515151515152,0.0047694753577106515,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0029154518950437317,0.0,0.00273224043715847,0.0049833887043189366,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0024154589371980675
